               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.037165,            0.012473,           0.0042522,             0.39215,             0.37857,             0.45614,             0.25301,            0.042374,           0.0053016,             0.10854,            0.004225,            0.004225,            0.004225
                  37,            0.035186,            0.011387,           0.0043175,             0.38239,             0.39633,             0.46034,             0.25163,             0.03995,           0.0053287,              0.1097,             0.00406,             0.00406,             0.00406
                  38,            0.035991,            0.012029,           0.0038067,             0.38223,             0.39428,             0.46185,             0.23658,            0.040435,           0.0053652,              0.1102,            0.003895,            0.003895,            0.003895
                  39,            0.035678,            0.011782,           0.0039242,             0.39524,             0.39634,             0.46414,             0.22855,            0.039934,           0.0053067,             0.11053,             0.00373,             0.00373,             0.00373
                  40,            0.036136,             0.01097,           0.0035647,             0.39576,                 0.4,             0.47086,             0.24349,            0.037954,            0.005199,             0.11128,            0.003565,            0.003565,            0.003565
                  41,            0.034654,            0.011053,            0.003676,               0.394,              0.3963,             0.46245,             0.24612,            0.039357,           0.0051938,             0.11125,              0.0034,              0.0034,              0.0034
                  42,            0.034372,            0.012592,           0.0031963,             0.38688,             0.39581,             0.46657,             0.27464,            0.039892,           0.0051431,             0.11203,            0.003235,            0.003235,            0.003235
                  43,            0.033409,            0.011196,            0.003138,             0.38983,             0.39617,             0.46561,             0.23909,            0.040837,           0.0051296,              0.1134,             0.00307,             0.00307,             0.00307
                  44,            0.032086,            0.011404,           0.0030448,             0.38811,             0.39612,             0.47302,             0.26856,            0.038345,           0.0051031,             0.11482,            0.002905,            0.002905,            0.002905
                  45,            0.031839,             0.01057,           0.0028406,             0.38932,             0.39697,             0.47873,             0.26609,            0.037271,           0.0051074,             0.11677,             0.00274,             0.00274,             0.00274
                  46,             0.03198,            0.010467,           0.0030208,              0.3888,             0.39751,             0.47221,             0.25076,            0.037243,           0.0051607,              0.1191,            0.002575,            0.002575,            0.002575
                  47,            0.030918,            0.011076,           0.0028919,             0.38809,             0.39773,             0.47825,               0.249,            0.038605,           0.0050971,             0.12062,             0.00241,             0.00241,             0.00241
                  48,            0.031914,             0.01082,           0.0029774,             0.38989,             0.39785,             0.47059,             0.23649,            0.037609,           0.0050474,             0.12226,            0.002245,            0.002245,            0.002245
                  49,            0.030562,            0.010076,            0.003015,             0.39099,             0.39803,             0.47543,             0.24339,            0.037886,           0.0050445,             0.12296,             0.00208,             0.00208,             0.00208
                  50,            0.030213,            0.010971,           0.0028724,             0.38876,             0.39656,             0.47835,             0.26398,            0.036805,           0.0050437,             0.12371,            0.001915,            0.001915,            0.001915
                  51,            0.030431,            0.010403,           0.0023695,             0.39021,             0.39735,             0.47839,             0.26684,            0.036419,           0.0050536,             0.12375,             0.00175,             0.00175,             0.00175
                  52,            0.029437,            0.010498,           0.0022283,             0.39124,              0.3987,             0.47803,             0.25122,            0.036594,           0.0050924,             0.12488,            0.001585,            0.001585,            0.001585
                  53,             0.02925,            0.010804,           0.0024101,             0.39144,             0.39935,             0.48258,             0.26056,            0.036103,           0.0051003,              0.1262,             0.00142,             0.00142,             0.00142
                  54,            0.028643,            0.010751,           0.0022585,             0.39302,                 0.4,             0.47414,             0.25364,            0.036296,           0.0051196,             0.12729,            0.001255,            0.001255,            0.001255
                  55,            0.028397,             0.01086,           0.0022058,             0.39328,                 0.4,             0.47239,             0.26455,            0.036261,           0.0050873,             0.12728,             0.00109,             0.00109,             0.00109
                  56,            0.028862,            0.010056,           0.0026565,              0.3937,                 0.4,             0.47174,             0.27037,            0.036002,           0.0050628,              0.1278,            0.000925,            0.000925,            0.000925
                  57,            0.026687,            0.011122,           0.0023905,             0.39503,                 0.4,             0.47609,             0.26402,            0.036135,           0.0050686,             0.12819,             0.00076,             0.00076,             0.00076
                  58,            0.027513,            0.010495,           0.0023798,             0.39578,                 0.4,             0.47176,             0.26489,            0.035229,           0.0050569,             0.12835,            0.000595,            0.000595,            0.000595
                  59,            0.027216,            0.011482,            0.002433,               0.396,                 0.4,             0.47515,             0.25962,            0.036148,           0.0050701,               0.129,             0.00043,             0.00043,             0.00043
